capscan.py: fekerr 20180909-20180911
Simple python script to scan YouTube .SBV captions files.
Usage: capscan <caption.sbv> [werdz.txt]

Arguments on command line: 3 :
./capscan.py
254_captions.sbv
werdz254.txt
Attempting very simple open of sys.argv[1]= 254_captions.sbv
<open file '254_captions.sbv', mode 'r' at 0x7f68a15c55d0>
00693.600, 698.01000 port that works on top of 50 STL if you
00695.940, 700.83000 want it like STL provides the per
00698.010, 704.52000 minimal layer to abstract window
00700.830, 707.10000 creation input OpenGL context creation
00704.520, 710.43000 and that's it QT provides a whole bunch
00707.100, 713.76000 of other stuff okay
00710.430, 720.15000 how do these relate to like OpenGL and
00713.760, 723.33000 direct3d so after you create a window if
00720.150, 726.12000 you want to render using GPU you need
00723.330, 728.40000 something that's called an OpenGL
00726.120, 730.80000 context which is basically a way to
00728.400, 732.90000 reference what you're doing for the hard
00730.800, 736.86000 work to know that you are the one
00732.900, 740.91000 issuing instructions and you which text
00736.860, 743.36000 or euro you own etc so the way you do
00740.910, 747.06000 that is different on each platform
00743.360, 749.46000 creating an opportunity is not really
00747.060, 752.67000 part of the OpenGL specification but a
00749.460, 755.64000 part of the window manager slash OpenGL
00752.670, 760.05000 integration so as DL abstracts all of
00755.640, 760.68000 these and it manages the windows way of
00760.050, 762.72000 doing it
00760.680, 765.63000 the egl way of doing it the back way of
00762.720, 767.85000 doing it and you just have to call SPL
00765.630, 770.01000 chair clear context or whatever it's
00767.850, 772.32000 called and you get a context and don't
00770.010, 777.00000 have to worry about any of the internal
00772.320, 779.16000 details and it also has a neat way to on
00777.000, 781.53000 up in OpenGL you need to load the
00779.160, 784.50000 function pointers from the library if
00781.530, 786.63000 you don't want to make statically and it
00784.500, 787.64900 helps you with that as well it's not the
00786.630, 792.44900 only library that does
00787.649, 798.14900 this but it's it's a nice utility that
00792.449, 800.85000 provides how does all of this so I know
00798.149, 802.88900 you're an expert in STL because I know
00800.850, 807.50900 you've contributed to it it's an open
00802.889, 815.02900 source project how does this relate to
00807.509, 817.61000 embedded systems it doesn't so STL
00815.029, 820.76900 doesn't really have support for
00817.610, 823.13900 narratives right so if we equate
00820.769, 825.52900 embedded systems to having an artists or
00823.139, 829.11000 not having an artist at all
00825.529, 832.29000 STL doesn't really apply here but there
00829.110, 835.35000 are a growing number of small wearables
00832.290, 838.29000 that use Linux and if you want to for
00835.350, 840.95900 example develop an app and not have to
00838.290, 841.47000 download it constantly to the device to
00840.959, 844.98000 try it
00841.470, 848.32900 you can develop an SPL app you try it on
00844.980, 851.61000 the desktop you use the OpenGL ES
00848.329, 854.67000 graphics stack and what you see on the
00851.610, 856.52900 desktop is going to be exactly or very
00854.670, 859.80000 close to what you see on the device and
00856.529, 861.50000 so that cuts down development time by a
00859.800, 866.61000 lot
00861.500, 870.93000 and there are many devices doing Linux
00866.610, 873.69000 embedded yeah if I wanted to have
00870.930, 877.53000 something that was doing Linux and was
00873.690, 880.71000 making graphics I mean I guess you know
00877.530, 883.08000 when I do embedded Linux I just plug in
00880.710, 887.34000 an HDMI screen and it all just kind of
00883.080, 894.00000 works but that's not that's not what
00887.340, 897.39000 you're talking about let's say can we
00894.000, 900.45000 consider the Raspberry Pi platform yes
00897.390, 902.76000 yeah okay so let's say you want to
00900.450, 904.83000 develop for Raspberry Pi and you don't
00902.760, 908.34000 want to compile everything on device
00904.830, 910.92000 because it takes forever yeah yeah so
00908.340, 913.47000 you cross compile and then once you
00910.920, 916.59000 cross compile you have to download it to
00913.470, 920.55000 the Raspberry Pi try it run it try it
00916.590, 922.86000 with the whatever input you've managed
00920.550, 926.00000 to connect to the Raspberry Pi and see
00922.860, 928.74000 what it looks like or what you can do is
00926.000, 930.12000 that what's basically that same app on
00928.740, 933.12000 your desktop
00930.120, 936.09000 peel it right there mess around with the
00933.120, 939.21000 UI as much as you want and once you're
00936.090, 941.25000 settled with that you know that STL is
00939.210, 942.78000 going to abstract most of the
00941.250, 944.97000 differences in Hauer
00942.780, 947.70000 because your desktop has a different GPU
00944.970, 952.68000 and it probably has a different
00947.700, 955.08000 resolution etc and so you try you send
00952.680, 957.63000 that which is basically there's pretty
00955.080, 961.71000 much the same code pinned it on top of
00957.630, 966.15000 STL and OpenGL ES and that should run on
00961.710, 969.48000 the Raspberry Pi mostly unmodified so
00966.150, 971.22000 it's it this doesn't mean that you
00969.480, 973.08000 cannot develop on the Raspberry Pi
00971.220, 975.36000 directly or that you shouldn't
00973.080, 978.15000 it is saves time if especially if you're
00975.360, 981.87000 doing a complex project it's also nice
00978.150, 984.39000 to be able to give a simulator to your
00981.870, 987.60000 designers and say well this is what it's
00984.390, 988.86000 gonna look like on the thing and then
00987.600, 992.40000 you don't care if the designers are
00988.860, 995.41000 using Mac or Windows or Linux and you
00992.400, 998.56000 still get a reasonable fuck
00995.410, 1001.7400 of what their version of graphics is
00998.560, 1005.8500 gonna look like on the embedded version
01001.740, 1008.3100 of graphics on the device yes and if for
01005.850, 1011.1900 example tomorrow competitor to the
01008.310, 1013.3500 Raspberry Pi show SAP and the software
01011.190, 1017.5500 stack that they provide doesn't have a
01013.350, 1020.1300 window manager but it has direct
01017.550, 1024.2090 hardware access for example most of the
01020.130, 1026.7300 event the GPUs have that so SDL supports
01024.209, 1029.6700 Peapod these GPUs directly and it can
01026.730, 1031.8600 create windows on the directly without
01029.670, 1034.6790 having to go through a window manager so
01031.860, 1036.9290 you your code runs on that it's a
01034.679, 1039.1200 different view it if a whole different
01036.929, 1041.8800 system and you don't have to change
01039.120, 1044.4000 anything for that to work and of course
01041.880, 1046.8900 if you're doing things like games you
01044.400, 1049.5900 support multiple platforms out of the
01046.890, 1051.3900 box with minimal effort you have an
01049.590, 1052.6790 elected the STA one of the things that
01051.390, 1054.1200 people were saying about it was there's
01052.679, 1057.4800 a game engine I'm like I don't think
01054.120, 1059.9400 that's right but it's not it's not a
01057.480, 1062.1000 game engine it's a it's a platform an OS
01059.940, 1065.7300 abstraction layer you you still have to
01062.100, 1067.9500 make your own engine on top of that but
01065.730, 1070.9800 SEO makes it simpler because you can
01067.950, 1072.6600 make a game engine that is mostly
01070.980, 1076.1700 cross-platform so you don't have to
01072.660, 1078.3900 worry about the display systems the
01076.170, 1082.3500 display and the input and many other
01078.390, 1086.3090 things yes sound as well in addition
01082.350, 1087.8900 today you did a database thing with STL
01086.309, 1090.5400 let me see if I've got this right
01087.890, 1093.1500 community sourced database of game
01090.540, 1094.9800 controller map means to be used with STL
01093.150, 1097.1400 to game controller functionality
01094.980, 1102.9500 I don't think all those words go
01097.140, 1107.0700 together so one of the things that SDL
01102.950, 1110.4290 added quite recently or maybe in the
01107.070, 1112.3500 last four years it's a way to abstract
01110.429, 1114.4500 game controllers so if you look at
01112.350, 1116.0400 different game controllers the most
01114.450, 1118.2600 popular ones are the Xbox and
01116.040, 1120.5700 Playstation ones and then there's a
01118.260, 1122.8200 whole myriad of buttons and things that
01120.570, 1125.0700 if you are a game developer for example
01122.820, 1129.5300 and you want to map all of that variety
01125.070, 1133.9800 to something consistent on your game
01129.530, 1136.9200 you're basically facing a titanic task
01133.980, 1138.6300 because you need to know what what
01136.920, 1141.2400 possible things the user may have in
01138.630, 1144.5400 their home and that they let them to use
01141.240, 1147.3300 on your game and map that somehow to the
01144.540, 1149.2800 game one of the most common solutions is
01147.330, 1150.9290 to have some kind of mapping
01149.280, 1152.8200 functionality in the game where it says
01150.929, 1154.3200 okay press the button to jump and you
01152.820, 1157.9500 press something and then that gets
01154.320, 1163.3200 recorded the database that you're
01157.950, 1166.4600 referring to is a way to formalize on
01163.320, 1170.8800 that so as the else supports mapping of
01166.460, 1173.4900 many controllers to an Xbox controller
01170.880, 1175.2000 format and people around the world have
01173.490, 1176.7300 been contributing those mappings that
01175.200, 1179.7000 they do with the controllers that they
01176.730, 1185.3700 get their hands on and we aggregate all
01179.700, 1187.2900 of that into this database so once when
01185.370, 1191.0700 anyone wants to ship a game and support
01187.290, 1193.6500 a whole bunch of controllers besides the
01191.070, 1196.5000 ones that still supports out of the box
01193.650, 1198.6000 which is fairly minimal amount they load
01196.500, 1200.2500 up this database and they can support I
01198.600, 1204.5700 don't know the last time I checked it
01200.250, 1207.4200 was like 300 computers mentally I have
01204.570, 1210.1500 this pictured as though it was I was
01207.420, 1212.0100 using code composer and switched out the
01210.150, 1215.8200 key bindings to match my Visual Studio
01212.010, 1217.3500 code is that is that a good mental model
01215.820, 1219.6000 or is that yes totally do it okay that's
01217.350, 1220.9800 it that's exactly what it is yes the
01219.600, 1225.4500 mental model of somebody doesn't play
01220.980, 1228.5700 enough games that's true or place with
01225.450, 1233.3700 keyboard and mouse no I had the VR
01228.570, 1235.6790 system and play with my feet so this
01233.370, 1238.2300 database thing and the STL things you do
01235.679, 1243.0900 and it's all open source and how do you
01238.230, 1246.0900 get paid you don't it's it's an
01243.090, 1250.0200 investment basically so the story is
01246.090, 1252.7800 that I started with some friends try to
01250.020, 1254.7900 make a game and to make a game of course
01252.780, 1256.6790 the first thing that they tell you is if
01254.790, 1258.6900 you're making a game don't make your own
01256.679, 1261.7800 nature so what did we do
01258.690, 1262.5900 we started making of course the end the
01261.780, 1264.8700 action was
01262.590, 1267.5090 SDL and I still had a number of
01264.870, 1271.1100 shortcomings that were angry on me so I
01267.509, 1273.4190 start to contribute in there and sings
01271.110, 1276.7200 one singlet to another and ended up
01273.419, 1279.2100 working on company in the u.s. that
01276.720, 1282.9600 basically found me through my open
01279.210, 1285.4190 source contributions the the reason why
01282.960, 1289.9800 I did those contributions is to learn
01285.419, 1292.7690 and also to get some recognition or two
01289.980, 1297.7490 it's it's a way to build up your resume
01292.769, 1299.5190 when you don't have specific expertise
01297.749, 1304.2590 in the area that you want to work in
01299.519, 1306.8090 probably so yeah it's a there's a lot of
01304.259, 1308.4800 paid open-source development but I
01306.809, 1310.7400 haven't been a button that it's been
01308.480, 1314.1900 everything is being voluntary for me
01310.740, 1315.9600 cool awesome listener question some of
01314.190, 1321.1790 which you've seen because you're in our
01315.960, 1324.2400 slack Channel let's see how about secret
01321.179, 1327.2990 is out many people are in our slack
01324.240, 1328.7990 Channel and if you want to be in our
01327.299, 1331.8600 slack channel in your listener all you
01328.799, 1335.3090 have to do is contribute a buck or two
01331.860, 1338.0900 on patreon and then you get the link in
01335.309, 1338.0900 then you can say hello
01338.240, 1344.5490 okay so Nick Nick asked Nick the
01341.340, 1346.6190 exploding lemur asked if you have any
01344.549, 1349.3790 tips for hunting down processors with
01346.619, 1351.6290 stable graphics drivers and/or easily
01349.379, 1358.0700 acquired graphics engine specs and open
01351.629, 1362.7300 drivers so the state of GPU drivers is
01358.070, 1365.0700 very bad the only ones I know of that
01362.730, 1367.4090 open source and quite good actually at
01365.070, 1370.4700 the Raspberry Pi one which is I think a
01367.409, 1373.2000 work in progress and then on desktop you
01370.470, 1376.4290 have the Intel works besides that
01373.200, 1381.1490 everything is be behind three layers of
01376.429, 1383.7000 DRAM and NDA's and Chris knows about
01381.149, 1385.6190 this you talk to one vendor and they
01383.700, 1390.5000 talk to the other vendor and you finally
01385.619, 1393.7690 get to the one that sells the GPU IP and
01390.500, 1395.7000 nobody gives you any internal details
01393.769, 1397.8600 unless
01395.700, 1400.2600 probably talking from VP to VP level
01397.860, 1402.6590 it's very complicated of course they're
01400.260, 1404.1590 doing super-secret stuff so I can
01402.659, 1406.3700 understand I'm not sure no it's all the
01404.159, 1406.3700 same
01407.809, 1412.7990 what about below that I mean that's
01410.039, 1414.7500 that's GPU stuff but in the
01412.799, 1418.1690 microcontroller world there's not a lot
01414.750, 1420.1490 of for hobbyists or people you know
01418.169, 1423.5100 doing like thinking about a Kickstarter
01420.149, 1427.2890 project there's not a lot of devices
01423.510, 1431.4600 that help out much with graphics no kind
01427.289, 1435.0000 of a 2d space yeah I've seen a couple of
01431.460, 1438.0590 SD chips that have a 2d accelerator
01435.000, 1442.2600 which is essentially a DMA engine that
01438.059, 1443.8500 can do like to the transfers where you
01442.260, 1446.5190 can specify an area and copy it to
01443.850, 1448.9190 another area and a bit more about them
01446.519, 1452.2200 that is an engine that can do scaling
01448.919, 1455.2790 and maybe rotation in 2d but that's
01452.220, 1458.0100 pretty much it if the other issue with
01455.279, 1461.3400 this kind of implementations is that
01458.010, 1463.5000 they're very a doc so each manufacturer
01461.340, 1468.1790 does their own thing and there's
01463.500, 1470.4600 absolutely no standards and maybe many
01468.179, 1473.5800 of those implementations are not very
01470.460, 1477.5700 distributed so expect plenty of bugs if
01473.580, 1480.3890 you're doing that and it's a huge
01477.570, 1485.7200 security risk in a way because you're
01480.389, 1489.4190 moving data around behind the CPU
01485.720, 1493.5000 protection mechanisms so you can easily
01489.419, 1497.2790 shoot yourself in the foot when you talk
01493.500, 1499.4400 about moving data into frame buffers and
01497.279, 1502.7990 being able to scale it some of that has
01499.440, 1505.6100 to do with fonts and having a font in
01502.799, 1509.7300 flash and then moving it to the screen
01505.610, 1511.5590 or having a letter in flash and moving
01509.730, 1517.4400 it to the screen because the font is a
01511.559, 1518.8200 series of letters how do you how do you
01517.440, 1521.4600 deal with fonts do you have a favorite
01518.820, 1523.7100 font do you prefer to do vectors and and
01521.460, 1526.1390 take the computing overhead do you
01523.710, 1529.2900 usually use bitmap fonts what do you
01526.139, 1533.4600 want to do so
01529.290, 1537.6900 yeah vector phones are ideal they
01533.460, 1541.9200 usually cost you just a little bit above
01537.690, 1544.6200 what you can spend on systems mostly
01541.920, 1547.7900 because they hover around a hundred K
01544.620, 1550.5000 and I have the case probably just
01547.790, 1554.1800 outside of your budget in many embedded
01550.500, 1557.7600 systems it's basically a compression
01554.180, 1559.9200 mechanism right you have the vectors in
01557.760, 1562.8300 a in a file and when you want to render
01559.920, 1565.9500 something you tessellate these vectors
01562.830, 1569.7900 into a bitmap and gosh that probably
01565.950, 1572.7500 somewhere and use that so if you are
01569.790, 1576.0300 using bitmap fonts what you're doing is
01572.750, 1578.5800 most of the same process butterfly yeah
01576.030, 1581.9100 you start from a font and you render the
01578.580, 1584.1900 bitmaps and you store only the bitmap on
01581.910, 1586.9500 your flash memory the issue with that is
01584.190, 1591.7500 that you cannot really change your text
01586.950, 1593.7300 size and you need to have space to store
01591.750, 1596.2500 all of the glyphs that you want to
01593.730, 1598.8800 render which if you're supporting things
01596.250, 1605.1000 like Chinese for example it's not a
01598.880, 1607.5300 trivial amount of space I think most of
01605.100, 1610.5000 the cortex-m processors can render
01607.530, 1616.2000 TrueType fonts correctly if you have the
01610.500, 1618.3300 run so if you have above I say 256 K of
01616.200, 1622.2900 nori you should probably give two type
01618.330, 1623.1000 fonts ago there is it's work with very
01622.290, 1624.6000 easy to work with
01623.100, 1628.2600 see how he's heard if they were really
01624.600, 1631.0500 hard kind of avoided them you need a
01628.260, 1634.5300 library yeah you you've got to
01631.050, 1636.3800 open-source libraries free type and STP
01634.530, 1642.1500 to type which is actually one of those
01636.380, 1644.6700 single feather priests like so much so
01642.150, 1647.5200 you just use that and it gives you
01644.670, 1651.2400 whatever you want okay good question
01647.520, 1652.8900 from Ben which was initially phrased why
01651.240, 1655.0800 do the displays that the gas-station
01652.890, 1658.7100 take five years to update for every key
01655.080, 1660.2600 press and then was changed to what are
01658.710, 1661.9700 some common mistakes made during
01660.260, 1668.9500 embedded graphics
01661.970, 1674.6600 I mean that 35 or 40 more minutes
01668.950, 1677.9200 mqtt tears right last time the I think
01674.660, 1680.5700 the thing that people don't understand
01677.920, 1683.6600 the the most common misunderstanding
01680.570, 1688.9400 about graphics is that graphics is a
01683.660, 1691.1000 bandwidth about operation right you you
01688.940, 1693.4400 do have some CPU processing and GPU
01691.100, 1695.9000 processing but the first limit that
01693.440, 1698.8700 you're going to hit is going to be the
01695.900, 1703.1900 bandwidth limit because it's mostly
01698.870, 1705.7700 about transferring information so in the
01703.190, 1709.1000 case of very slow displacing gas
01705.770, 1711.6200 stations or ATMs or whatever what
01709.100, 1715.1000 usually happens is that they choose a
01711.620, 1717.7600 processor for price reasons or business
01715.100, 1720.1100 reasons or whatever and then they make a
01717.760, 1722.3000 totally separate decision about the
01720.110, 1725.8400 resolution based on what this place they
01722.300, 1727.7900 can get or what resolution but visual
01725.840, 1730.0700 impact they want to have on the user and
01727.790, 1731.7500 then those things are completely
01730.070, 1734.2400 separate and they usually don't match up
01731.750, 1737.9000 and then that's why you end up with
01734.240, 1740.7200 those ugly low frame rates that you
01737.900, 1743.0300 could you say this is one of the reasons
01740.720, 1746.1200 that we do when we talk about DMA when
01743.030, 1748.1000 we talk about graphics because it is all
01746.120, 1751.5500 about moving things from here to there
01748.100, 1754.6300 as fast as possible and still being able
01751.550, 1758.8000 to do other stuff yep
01754.630, 1758.8000 are there other common mistakes
01760.070, 1764.2500 the other common mistake which is
01762.240, 1767.0400 related to probably one of the other
01764.250, 1769.9200 questions that I saw on the slab channel
01767.040, 1772.5200 is across products
01769.920, 1776.5800 the resolution is evaluated as a new
01772.520, 1778.4400 thing all the time so you change
01776.580, 1780.5700 products and you change completely the
01778.440, 1783.4500 resolution because again business
01780.570, 1786.3000 reasons or reliability or whatever and
01783.450, 1789.0300 then you start on your second product
01786.300, 1792.3600 you start maintaining two sets of assets
01789.030, 1796.2800 which don't really mesh with each other
